 1.00 30.00  6.24  3.00 34.00 20.67
 2.00 33.33  8.14  3.00 37.67 26.67
 3.00 39.67  7.51  3.00 44.33 31.33
 4.00 45.33  4.62  3.00 52.33 35.33
 5.00 48.50  0.71  2.00 57.50 33.50
 6.00 34.50  2.12  2.00 44.00 23.00
 7.00 25.00    NA  1.00 34.00 15.00
 8.00 23.00  0.00  2.00 34.00 12.00
 9.00 32.00  1.41  2.00 39.50 20.50
10.00 37.50  6.36  2.00 43.50 27.50
11.00 27.00  5.66  2.00 33.50 18.50
12.00 27.50  4.95  2.00 32.50 18.00
