  0.38  0.56  0.69  0.75  1.33  1.83
  0.71  0.76  0.83  0.67  1.13  1.42
  1.96  0.98  0.85  0.62  1.02  1.27
  3.11  1.07  0.85  0.64  0.96  0.94
  1.50  0.91  0.76  0.74  0.88  0.65
  0.93  0.78  0.68  0.80  0.77  0.56
  0.77  0.70  0.64  0.89  0.91  0.75
  0.69  0.67  0.59  0.94  1.40  1.63
  0.62  0.64  0.57  0.99  1.91  3.36
  0.70  0.63  0.58  0.99  2.26  4.48
  0.34  0.55  0.62  0.87  1.77  3.16
  0.30  0.50  0.69  0.77  1.39  2.01
