%Alt(km) AK(SZA=45°) AK(SZA=80°)
 0.000 1.051 0.671
 0.025 1.051 0.672
 0.075 1.052 0.675
 0.150 1.052 0.678
 0.250 1.053 0.682
 0.350 1.054 0.687
 0.450 1.054 0.691
 0.550 1.055 0.695
 0.650 1.055 0.699
 0.750 1.056 0.703
 0.850 1.056 0.708
 0.950 1.056 0.712
 1.050 1.056 0.716
 1.150 1.056 0.720
 1.250 1.056 0.725
 1.350 1.056 0.729
 1.450 1.055 0.733
 1.550 1.055 0.738
 1.650 1.055 0.742
 1.750 1.054 0.747
 1.850 1.054 0.751
 1.950 1.053 0.756
 2.125 1.052 0.764
 2.375 1.051 0.776
 2.625 1.049 0.789
 2.875 1.046 0.802
 3.125 1.044 0.815
 3.375 1.041 0.829
 3.625 1.038 0.843
 3.875 1.035 0.858
 4.125 1.032 0.873
 4.375 1.028 0.889
 4.625 1.024 0.905
 4.875 1.020 0.921
 5.500 1.009 0.964
 6.500 0.991 1.036
 7.500 0.971 1.110
 8.500 0.950 1.182
 9.500 0.931 1.247
10.500 0.913 1.303
11.500 0.896 1.356
12.500 0.880 1.399
13.500 0.864 1.434
14.500 0.850 1.463
15.500 0.836 1.486
16.500 0.824 1.505
17.500 0.812 1.520
18.500 0.801 1.530
19.500 0.792 1.537
20.500 0.783 1.541
21.500 0.775 1.542
22.500 0.768 1.542
23.500 0.762 1.540
24.500 0.756 1.537
25.500 0.751 1.534
26.500 0.747 1.531
27.500 0.743 1.526
28.500 0.740 1.521
29.500 0.737 1.515
31.500 0.733 1.504
34.500 0.728 1.487
37.500 0.725 1.470
