%Alt(km) AK(SZA=45°) AK(SZA=80°)
 0.000 0.000 0.000
 3.990 0.000 0.000
 4.000 1.032 0.849
 4.125 1.030 0.858
 4.375 1.027 0.877
 4.625 1.023 0.896
 4.875 1.019 0.915
 5.500 1.009 0.962
 6.500 0.991 1.038
 7.500 0.971 1.116
 8.500 0.951 1.190
 9.500 0.932 1.257
10.500 0.914 1.314
11.500 0.898 1.368
12.500 0.881 1.412
13.500 0.866 1.448
14.500 0.852 1.477
15.500 0.838 1.501
16.500 0.826 1.520
17.500 0.814 1.535
18.500 0.803 1.546
19.500 0.794 1.553
20.500 0.785 1.557
21.500 0.777 1.559
22.500 0.770 1.559
23.500 0.764 1.557
24.500 0.758 1.554
25.500 0.754 1.551
26.500 0.749 1.548
27.500 0.746 1.543
28.500 0.742 1.538
29.500 0.740 1.532
31.500 0.735 1.521
34.500 0.731 1.504
37.500 0.727 1.487
