%Alt(km) AK(SZA=45°) AK(SZA=80°)
 0.000 0.000 0.000
 0.990 0.000 0.000
 1.000 1.051 0.704
 1.050 1.052 0.706
 1.150 1.052 0.712
 1.250 1.052 0.717
 1.350 1.052 0.722
 1.450 1.052 0.726
 1.550 1.052 0.731
 1.650 1.052 0.736
 1.750 1.052 0.741
 1.850 1.052 0.746
 1.950 1.051 0.751
 2.125 1.051 0.760
 2.375 1.049 0.773
 2.625 1.047 0.786
 2.875 1.045 0.799
 3.125 1.043 0.813
 3.375 1.040 0.827
 3.625 1.038 0.841
 3.875 1.034 0.856
 4.125 1.031 0.872
 4.375 1.028 0.888
 4.625 1.024 0.904
 4.875 1.020 0.921
 5.500 1.009 0.964
 6.500 0.991 1.036
 7.500 0.971 1.111
 8.500 0.951 1.184
 9.500 0.931 1.249
10.500 0.914 1.305
11.500 0.897 1.358
12.500 0.880 1.401
13.500 0.865 1.437
14.500 0.851 1.465
15.500 0.837 1.488
16.500 0.824 1.507
17.500 0.813 1.522
18.500 0.802 1.533
19.500 0.792 1.540
20.500 0.784 1.544
21.500 0.776 1.545
22.500 0.769 1.545
23.500 0.762 1.543
24.500 0.757 1.540
25.500 0.752 1.537
26.500 0.748 1.534
27.500 0.744 1.529
28.500 0.741 1.524
29.500 0.738 1.518
31.500 0.734 1.507
34.500 0.729 1.490
37.500 0.726 1.473
