%Alt(km) AK(SZA=45°) AK(SZA=80°)
 0.000 0.000 0.000
 4.990 0.000 0.000
 5.000 1.019 0.918
 5.500 1.009 0.959
 6.500 0.991 1.041
 7.500 0.971 1.121
 8.500 0.951 1.197
 9.500 0.932 1.264
10.500 0.914 1.322
11.500 0.897 1.376
12.500 0.881 1.421
13.500 0.866 1.457
14.500 0.851 1.487
15.500 0.838 1.510
16.500 0.825 1.530
17.500 0.814 1.546
18.500 0.803 1.557
19.500 0.793 1.564
20.500 0.785 1.568
21.500 0.777 1.569
22.500 0.770 1.569
23.500 0.763 1.568
24.500 0.758 1.565
25.500 0.753 1.562
26.500 0.749 1.559
27.500 0.745 1.554
28.500 0.742 1.549
29.500 0.739 1.543
31.500 0.735 1.532
34.500 0.730 1.515
37.500 0.727 1.497
