Site,ID, Lat,Lon,Elev,Species,JanMean,FebMean,MarMean,AprMean,MayMean,JunMean,JulMean,AugMean,SepMean,OctMean,NovMean,DecMean,JanStd,FebStd,MarStd,AprStd,MayStd,JunStd,JulyStd,AugStd,SepStd,OctStd,NovStd,DecStd
  Everglades NP,EVER1, NO3f,     25.39,    -80.68,      1.00,      0.43,      0.63,      0.45,      0.55,      0.43,      0.39,      0.38,      0.25,      0.36,      0.31,      0.32,      0.37,      0.18,      0.24,      0.18,      0.24,      0.15,      0.22,      0.13,      0.12,      0.21,      0.13,      0.11,      0.16,
  Everglades NP,EVER1, SO4f,     25.39,    -80.68,      1.00,      1.86,      2.10,      2.97,      2.94,      4.82,      1.65,      2.01,      1.40,      3.39,      2.07,      1.92,      1.86,      1.41,      1.04,      1.26,      0.72,      2.56,      0.69,      1.86,      0.42,      2.17,      1.99,      0.51,      0.67,
       Flathead,FLAT1, NH4f,     47.77,   -114.27,   1580.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Flathead,FLAT1,  ECf,     47.77,   -114.27,   1580.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Flathead,FLAT1,  OCf,     47.77,   -114.27,   1580.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Flathead,FLAT1, NO3f,     47.77,   -114.27,   1580.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Flathead,FLAT1, SO4f,     47.77,   -114.27,   1580.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Fort Peck,FOPE1, NH4f,     48.31,   -105.10,    638.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Fort Peck,FOPE1,  ECf,     48.31,   -105.10,    638.00,      0.12,      0.10,      0.07,      0.10,      0.14,      0.07,      0.13,      0.18,      0.13,      0.15,      0.12,      0.12,      0.06,      0.05,      0.05,      0.05,      0.10,      0.03,      0.06,      0.07,      0.10,      0.05,      0.05,      0.08,
      Fort Peck,FOPE1,  OCf,     48.31,   -105.10,    638.00,      0.54,      0.41,      0.34,      0.43,      0.69,      0.69,      1.15,      1.67,      0.91,      0.77,      0.51,      0.43,      0.22,      0.20,      0.19,      0.26,      0.44,      0.22,      0.38,      0.79,      0.75,      0.30,      0.17,      0.18,
      Fort Peck,FOPE1, NO3f,     48.31,   -105.10,    638.00,      0.97,      0.81,      1.00,      0.31,      0.27,      0.06,      0.05,      0.07,      0.08,      0.25,      0.51,      0.79,      0.80,      0.85,      0.96,      0.40,      0.24,      0.05,      0.02,      0.03,      0.04,      0.20,      0.60,      0.68,
      Fort Peck,FOPE1, SO4f,     48.31,   -105.10,    638.00,      0.84,      0.71,      1.09,      0.87,      1.14,      0.57,      0.78,      0.77,      0.75,      0.57,      0.83,      0.53,      0.51,      0.44,      0.86,      0.64,      0.77,      0.29,      0.38,      0.29,      0.36,      0.17,      0.58,      0.53,
         Fresno,FRES1, NH4f,    100.00,      9.00,      9.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
         Fresno,FRES1,  ECf,    100.00,      9.00,      9.00,      1.31,      1.34,      0.86,      0.45,      0.51,      0.46,      0.90,      0.90,      0.98,      1.35,      2.63,      2.70,      0.71,      0.64,      0.39,      0.23,      0.28,      0.30,      0.35,      0.29,      0.44,      0.63,      1.36,      1.61,
         Fresno,FRES1,  OCf,    100.00,      9.00,      9.00,      4.15,      3.60,      3.02,      1.56,      1.62,      1.59,      2.91,      2.59,      3.20,      3.64,      6.95,      6.18,      2.37,      1.87,      1.51,      1.14,      0.98,      0.82,      0.98,      0.63,      1.31,      1.67,      3.67,      4.30,
         Fresno,FRES1, NO3f,    100.00,      9.00,      9.00,      6.24,      8.32,      6.03,      1.73,      1.36,      1.22,      1.00,      1.12,      2.43,      4.19,     13.60,     15.75,      4.89,      4.80,      6.43,      0.96,      0.57,      0.52,      0.53,      0.65,      1.19,      2.97,     11.50,     14.33,
         Fresno,FRES1, SO4f,    100.00,      9.00,      9.00,      1.83,      1.30,      1.57,      1.08,      1.58,      1.56,      2.40,      1.70,      1.53,      1.24,      1.37,      1.46,      1.59,      0.69,      1.16,      0.48,      0.59,      0.71,      0.59,      0.54,      0.44,      0.64,      0.73,      0.99,
Frostberg Reser,FRRE1, NH4f,    767.00,      4.00,      4.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Frostberg Reser,FRRE1,  ECf,    767.00,      4.00,      4.00,      0.59,      0.47,      0.40,      0.41,      0.51,      0.49,      0.50,      0.51,      0.44,      0.37,      0.46,      0.43,      0.27,      0.32,      0.20,      0.24,      0.15,      0.22,      0.17,      0.18,      0.10,      0.15,      0.28,      0.14,
Frostberg Reser,FRRE1,  OCf,    767.00,      4.00,      4.00,      1.37,      1.16,      0.95,      1.07,      1.30,      1.61,      1.74,      1.93,      1.56,      0.95,      1.35,      1.19,      0.78,      0.62,      0.44,      0.67,      0.48,      0.79,      0.87,      0.69,      0.49,      0.49,      0.69,      0.43,
Frostberg Reser,FRRE1, NO3f,    767.00,      4.00,      4.00,      1.12,      1.43,      1.20,      0.78,      0.97,      0.21,      0.16,      0.17,      0.21,      0.25,      0.60,      0.95,      0.96,      1.23,      1.15,      0.43,      0.63,      0.05,      0.06,      0.05,      0.08,      0.11,      0.35,      0.71,
Frostberg Reser,FRRE1, SO4f,    767.00,      4.00,      4.00,      2.80,      2.93,      3.43,      3.43,      4.64,      6.61,     10.74,     10.01,      8.17,      2.33,      2.38,      3.44,      1.36,      0.84,      1.45,      3.31,      1.69,      3.92,      3.73,      4.68,      2.46,      1.39,      1.00,      1.67,
Gates of the Mo,GAMO1, NH4f,     46.83,   -111.71,   2387.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Gates of the Mo,GAMO1,  ECf,     46.83,   -111.71,   2387.00,      0.05,      0.05,      0.08,      0.08,      0.05,      0.10,      0.09,      0.25,      0.18,      0.10,      0.07,      0.05,      0.03,      0.04,      0.07,      0.05,      0.03,      0.08,      0.04,      0.18,      0.16,      0.04,      0.04,      0.03,
Gates of the Mo,GAMO1,  OCf,     46.83,   -111.71,   2387.00,      0.19,      0.21,      0.40,      0.35,      0.36,      0.53,      0.94,      2.37,      1.38,      0.55,      0.40,      0.15,      0.15,      0.12,      0.34,      0.24,      0.20,      0.37,      0.31,      1.46,      1.34,      0.29,      0.25,      0.11,
Gates of the Mo,GAMO1, NO3f,     46.83,   -111.71,   2387.00,      0.12,      0.17,      0.15,      0.21,      0.16,      0.07,      0.04,      0.10,      0.08,      0.05,      0.07,      0.05,      0.12,      0.16,      0.19,      0.18,      0.22,      0.05,      0.01,      0.08,      0.04,      0.04,      0.07,      0.03,
Gates of the Mo,GAMO1, SO4f,     46.83,   -111.71,   2387.00,      0.28,      0.28,      0.46,      0.56,      0.55,      0.39,      0.30,      0.37,      0.31,      0.21,      0.20,      0.18,      0.24,      0.08,      0.54,      0.30,      0.55,      0.46,      0.10,      0.12,      0.16,      0.10,      0.13,      0.14,
Gila Wilderness,GICL1, NH4f,     33.22,   -108.24,   1775.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Gila Wilderness,GICL1,  ECf,     33.22,   -108.24,   1775.00,      0.08,      0.07,      0.07,      0.08,      0.16,      0.54,      1.09,      0.10,      0.12,      0.13,      0.13,      0.10,      0.05,      0.03,      0.04,      0.04,      0.09,      0.52,      1.05,      0.03,      0.08,      0.05,      0.09,      0.05,
Gila Wilderness,GICL1,  OCf,     33.22,   -108.24,   1775.00,      0.37,      0.29,      0.35,      0.37,      0.80,      2.50,      4.74,      0.68,      0.55,      0.57,      0.59,      0.35,      0.15,      0.10,      0.14,      0.17,      0.52,      1.48,      3.87,      0.10,      0.36,      0.22,      0.41,      0.22,
Gila Wilderness,GICL1, NO3f,     33.22,   -108.24,   1775.00,      0.04,      0.05,      0.09,      0.13,      0.16,      0.14,      0.13,      0.04,      0.05,      0.06,      0.05,      0.06,      0.01,      0.04,      0.05,      0.06,      0.08,      0.08,      0.05,      0.01,      0.02,      0.03,      0.04,      0.06,
Gila Wilderness,GICL1, SO4f,     33.22,   -108.24,   1775.00,      0.31,      0.48,      0.64,      0.72,      0.98,      1.24,      0.89,      0.86,      1.22,      0.88,      0.58,      0.22,      0.22,      0.26,      0.17,      0.27,      0.37,      0.53,      0.15,      0.34,      0.71,      0.48,      0.59,      0.09,
     Glacier NP,GLAC1, NH4f,     48.51,   -114.00,    975.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Glacier NP,GLAC1,  ECf,     48.51,   -114.00,    975.00,      0.48,      0.41,      0.32,      0.29,      0.32,      0.26,      0.37,      0.43,      0.37,      0.56,      0.56,      0.47,      0.31,      0.19,      0.23,      0.11,      0.13,      0.09,      0.15,      0.17,      0.15,      0.35,      0.38,      0.25,
     Glacier NP,GLAC1,  OCf,     48.51,   -114.00,    975.00,      1.37,      1.51,      1.13,      1.00,      1.11,      1.02,      1.42,      2.19,      1.24,      2.38,      3.50,      1.76,      0.96,      0.51,      0.79,      0.34,      0.43,      0.50,      0.64,      0.79,      0.59,      1.63,      2.67,      1.17,
     Glacier NP,GLAC1, NO3f,     48.51,   -114.00,    975.00,      0.50,      0.21,      0.25,      0.12,      0.08,      0.07,      0.07,      0.09,      0.08,      0.14,      0.54,      1.01,      0.51,      0.10,      0.21,      0.05,      0.02,      0.02,      0.03,      0.03,      0.04,      0.18,      0.64,      1.62,
     Glacier NP,GLAC1, SO4f,     48.51,   -114.00,    975.00,      0.68,      0.44,      1.10,      0.78,      0.45,      0.43,      0.39,      0.46,      0.42,      0.41,      0.54,      0.70,      0.35,      0.05,      1.00,      0.29,      0.23,      0.19,      0.17,      0.25,      0.17,      0.21,      0.30,      0.55,
 Great Basin NP,GRBA1, NH4f,     39.01,   -114.22,   2065.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 Great Basin NP,GRBA1,  ECf,     39.01,   -114.22,   2065.00,      0.06,      0.08,      0.06,      0.07,      0.21,      0.55,      0.31,      0.09,      0.07,      0.11,      0.07,      0.10,      0.04,      0.06,      0.04,      0.04,      0.20,      0.61,      0.31,      0.03,      0.04,      0.04,      0.04,      0.07,
 Great Basin NP,GRBA1,  OCf,     39.01,   -114.22,   2065.00,      0.33,      0.38,      0.27,      0.30,      0.76,      2.14,      1.76,      0.56,      0.51,      0.65,      0.34,      0.36,      0.21,      0.15,      0.11,      0.09,      0.76,      2.67,      0.92,      0.29,      0.14,      0.25,      0.17,      0.18,
 Great Basin NP,GRBA1, NO3f,     39.01,   -114.22,   2065.00,      0.06,      0.20,      0.09,      0.17,      0.09,      0.25,      0.16,      0.07,      0.13,      0.06,      0.07,      0.12,      0.06,      0.14,      0.15,      0.18,      0.07,      0.45,      0.17,      0.05,      0.13,      0.05,      0.11,      0.23,
 Great Basin NP,GRBA1, SO4f,     39.01,   -114.22,   2065.00,      0.17,      0.28,      0.31,      0.56,      0.55,      0.92,      0.81,      0.79,      0.60,      0.44,      0.30,      0.15,      0.10,      0.16,      0.19,      0.36,      0.33,      0.72,      0.35,      0.30,      0.25,      0.27,      0.25,      0.13,
  Hopi Point #1,GRCA1, NH4f,     36.07,   -112.15,   2164.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
  Hopi Point #1,GRCA1,  ECf,     36.07,   -112.15,   2164.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
  Hopi Point #1,GRCA1,  OCf,     36.07,   -112.15,   2164.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
  Hopi Point #1,GRCA1, NO3f,     36.07,   -112.15,   2164.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
  Hopi Point #1,GRCA1, SO4f,     36.07,   -112.15,   2164.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Hance Camp at G,GRCA2, NH4f,     35.97,   -111.98,   2267.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Hance Camp at G,GRCA2,  ECf,     35.97,   -111.98,   2267.00,      0.07,      0.04,      0.08,      0.10,      0.10,      0.31,      0.45,      0.10,      0.11,      0.12,      0.11,      0.06,      0.05,      0.04,      0.06,      0.09,      0.04,      0.45,      0.46,      0.04,      0.05,      0.05,      0.09,      0.05,
Hance Camp at G,GRCA2,  OCf,     35.97,   -111.98,   2267.00,      0.24,      0.13,      0.51,      0.51,      0.42,      1.27,      2.54,      0.49,      0.32,      0.58,      0.39,      0.14,      0.11,      0.10,      0.95,      0.60,      0.27,      1.55,      2.36,      0.22,      0.14,      0.26,      0.44,      0.11,
Hance Camp at G,GRCA2, NO3f,     35.97,   -111.98,   2267.00,      0.12,      0.14,      0.14,      0.21,      0.19,      0.26,      0.18,      0.07,      0.12,      0.13,      0.10,      0.12,      0.11,      0.18,      0.10,      0.16,      0.14,      0.16,      0.13,      0.04,      0.08,      0.14,      0.14,      0.18,
Hance Camp at G,GRCA2, SO4f,     35.97,   -111.98,   2267.00,      0.32,      0.31,      0.40,      0.77,      0.80,      1.21,      0.92,      0.99,      0.89,      0.85,      0.56,      0.22,      0.20,      0.19,      0.14,      0.44,      0.38,      0.53,      0.28,      0.43,      0.24,      0.37,      0.58,      0.14,
Great Gulf Wild,GRGU1, NH4f,     44.31,    -71.22,    453.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Great Gulf Wild,GRGU1,  ECf,     44.31,    -71.22,    453.00,      0.18,      0.18,      0.10,      0.16,      0.11,      0.42,      0.23,      0.28,      0.24,      0.16,      0.20,      0.20,      0.05,      0.12,      0.04,      0.08,      0.04,      0.26,      0.12,      0.11,      0.15,      0.09,      0.17,      0.14,
Great Gulf Wild,GRGU1,  OCf,     44.31,    -71.22,    453.00,      0.57,      0.57,      0.43,      0.54,      0.45,      2.47,      1.42,      1.38,      1.10,      0.64,      0.64,      0.58,      0.17,      0.30,      0.14,      0.22,      0.22,      1.92,      1.11,      0.66,      0.47,      0.27,      0.52,      0.41,
Great Gulf Wild,GRGU1, NO3f,     44.31,    -71.22,    453.00,      0.34,      0.18,      0.16,      0.11,      0.13,      0.06,      0.04,      0.06,      0.06,      0.16,      0.18,      0.32,      0.22,      0.12,      0.10,      0.07,      0.15,      0.04,      0.02,      0.03,      0.03,      0.07,      0.16,      0.26,
Great Gulf Wild,GRGU1, SO4f,     44.31,    -71.22,    453.00,      1.52,      1.42,      1.24,      1.40,      1.10,      3.19,      2.06,      2.36,      2.16,      1.18,      1.28,      1.54,      0.97,      0.98,      0.67,      0.87,      0.56,      3.16,      2.30,      1.75,      2.32,      1.10,      1.11,      1.27,
Great River Blu,GRRI1, NH4f,    370.00,      7.00,      7.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Great River Blu,GRRI1,  ECf,    370.00,      7.00,      7.00,      0.35,      0.36,      0.22,      0.58,      0.27,      0.43,      0.41,      0.38,      0.41,      0.30,      0.32,      0.36,      0.14,      0.13,      0.11,      0.69,      0.11,      0.31,      0.17,      0.18,      0.26,      0.16,      0.25,      0.19,
Great River Blu,GRRI1,  OCf,    370.00,      7.00,      7.00,      1.20,      1.09,      0.72,      2.22,      0.79,      1.64,      1.54,      1.52,      1.55,      0.99,      1.02,      0.97,      0.60,      0.55,      0.39,      3.20,      0.36,      1.26,      0.81,      0.85,      1.20,      0.63,      0.97,      0.50,
Great River Blu,GRRI1, NO3f,    370.00,      7.00,      7.00,      5.54,      4.99,      2.23,      1.84,      1.53,      0.39,      0.29,      0.35,      0.40,      1.36,      1.70,      4.64,      5.30,      3.02,      2.05,      1.95,      1.28,      0.25,      0.12,      0.25,      0.18,      1.67,      1.47,      2.83,
Great River Blu,GRRI1, SO4f,    370.00,      7.00,      7.00,      2.17,      2.03,      1.85,      4.42,      1.85,      3.57,      3.17,      3.87,      3.02,      2.02,      1.33,      2.09,      1.56,      0.87,      1.16,      7.04,      0.81,      4.45,      2.03,      4.83,      3.93,      1.53,      0.88,      0.98,
Great Sand Dune,GRSA1, NH4f,     37.72,   -105.52,   2498.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Great Sand Dune,GRSA1,  ECf,     37.72,   -105.52,   2498.00,      0.09,      0.10,      0.09,      0.10,      0.09,      0.23,      0.19,      0.10,      0.09,      0.10,      0.06,      0.07,      0.05,      0.03,      0.06,      0.04,      0.04,      0.28,      0.10,      0.06,      0.04,      0.04,      0.05,      0.04,
Great Sand Dune,GRSA1,  OCf,     37.72,   -105.52,   2498.00,      0.36,      0.48,      0.35,      0.47,      0.61,      1.31,      1.38,      0.64,      0.52,      0.54,      0.36,      0.35,      0.18,      0.12,      0.20,      0.17,      0.28,      0.95,      0.56,      0.28,      0.23,      0.22,      0.18,      0.14,
Great Sand Dune,GRSA1, NO3f,     37.72,   -105.52,   2498.00,      0.20,      0.31,      0.19,      0.21,      0.12,      0.17,      0.10,      0.05,      0.06,      0.05,      0.05,      0.11,      0.19,      0.17,      0.11,      0.06,      0.09,      0.12,      0.10,      0.03,      0.03,      0.03,      0.03,      0.13,
Great Sand Dune,GRSA1, SO4f,     37.72,   -105.52,   2498.00,      0.23,      0.42,      0.48,      0.85,      0.60,      1.04,      0.77,      0.60,      0.58,      0.61,      0.43,      0.16,      0.11,      0.26,      0.19,      0.32,      0.25,      0.35,      0.33,      0.23,      0.18,      0.45,      0.41,      0.06,
Great Smoky Mou,GRSM1, NH4f,     35.63,    -83.94,    810.00,      0.91,      0.88,      1.19,      1.04,      2.18,      1.51,      1.57,      1.59,      1.90,      1.21,      0.78,      0.53,      0.41,      0.40,      0.52,      1.08,      1.05,      1.13,      0.76,      0.99,      1.13,      0.69,      0.36,      0.20,
Great Smoky Mou,GRSM1,  ECf,     35.63,    -83.94,    810.00,      0.50,      0.32,      0.34,      0.35,      0.46,      0.42,      0.43,      0.49,      0.52,      0.46,      0.41,      0.38,      0.23,      0.15,      0.18,      0.17,      0.15,      0.19,      0.23,      0.15,      0.18,      0.19,      0.12,      0.22,
Great Smoky Mou,GRSM1,  OCf,     35.63,    -83.94,    810.00,      1.47,      1.11,      1.11,      1.39,      1.56,      1.76,      1.85,      2.10,      2.03,      1.74,      1.71,      1.15,      0.54,      0.45,      0.70,      0.77,      0.78,      0.65,      0.68,      0.57,      0.54,      1.34,      0.56,      0.55,
Great Smoky Mou,GRSM1, NO3f,     35.63,    -83.94,    810.00,      0.86,      0.73,      0.83,      0.30,      0.34,      0.12,      0.13,      0.11,      0.14,      0.22,      0.32,      0.53,      0.65,      0.54,      0.49,      0.16,      0.43,      0.04,      0.07,      0.03,      0.05,      0.15,      0.14,      0.49,
Great Smoky Mou,GRSM1, SO4f,     35.63,    -83.94,    810.00,      2.36,      2.29,      2.86,      2.88,      6.59,      6.25,      7.36,      7.28,      7.15,      4.00,      2.51,      1.33,      1.05,      1.15,      1.16,      2.72,      3.07,      4.36,      2.97,      4.04,      4.45,      2.42,      1.38,      0.38,
Guadalupe Mount,GUMO1, NH4f,     31.83,   -104.81,   1672.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Guadalupe Mount,GUMO1,  ECf,     31.83,   -104.81,   1672.00,      0.19,      0.11,      0.10,      0.11,      0.14,      0.15,      0.13,      0.17,      0.16,      0.11,      0.15,      0.15,      0.15,      0.05,      0.06,      0.08,      0.06,      0.05,      0.07,      0.22,      0.07,      0.04,      0.11,      0.06,
Guadalupe Mount,GUMO1,  OCf,     31.83,   -104.81,   1672.00,      0.48,      0.34,      0.49,      0.51,      0.65,      1.09,      1.04,      0.78,      1.36,      0.79,      0.76,      0.53,      0.31,      0.17,      0.16,      0.36,      0.42,      0.29,      0.29,      0.49,      0.39,      0.25,      0.34,      0.21,
Guadalupe Mount,GUMO1, NO3f,     31.83,   -104.81,   1672.00,      0.44,      0.53,      0.20,      0.21,      0.25,      0.17,      0.33,      0.13,      0.10,      0.17,      0.21,      0.44,      0.60,      0.79,      0.14,      0.12,      0.13,      0.09,      0.27,      0.06,      0.05,      0.13,      0.23,      0.47,
Guadalupe Mount,GUMO1, SO4f,     31.83,   -104.81,   1672.00,      0.79,      0.75,      0.71,      1.32,      1.46,      2.32,      1.93,      1.91,      2.74,      1.40,      0.84,      0.65,      0.58,      0.32,      0.47,      1.62,      0.65,      0.91,      0.90,      1.62,      1.65,      0.79,      0.59,      0.75,
Haleakala Crate,HACR1, NH4f,   2158.00,      1.00,      1.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Haleakala Crate,HACR1,  ECf,   2158.00,      1.00,      1.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Haleakala Crate,HACR1,  OCf,   2158.00,      1.00,      1.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Haleakala Crate,HACR1, NO3f,   2158.00,      1.00,      1.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Haleakala Crate,HACR1, SO4f,   2158.00,      1.00,      1.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   Haleakala NP,HALE1, NH4f,     20.81,   -156.28,   1153.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   Haleakala NP,HALE1,  ECf,     20.81,   -156.28,   1153.00,      0.04,      0.06,      0.09,      0.06,      0.09,      0.03,      0.05,      0.04,      0.06,      0.06,      0.15,      0.09,      0.04,      0.03,      0.11,      0.04,      0.05,      0.02,      0.02,      0.02,      0.05,      0.05,      0.18,      0.07,
