 1.00 26.44  3.84 13.00 14.41 35.22
 2.00 30.70  4.97 13.00 17.06 40.85
 3.00 35.90  3.40 13.00 23.28 46.39
 4.00 42.68  3.74 12.00 27.72 54.97
 5.00 47.42  5.97 13.00 31.30 60.55
 6.00 47.76  4.23 13.00 31.04 62.85
 7.00 49.12  4.78 13.00 30.10 65.67
 8.00 46.99  5.68 13.00 28.14 62.68
 9.00 38.55  4.00 13.00 22.94 52.19
10.00 27.72  3.84 13.00 14.67 39.14
11.00 24.48  3.63 13.00 12.02 34.11
12.00 24.99  2.99 13.00 12.79 33.94
